i,j,ssim,dhash,phash,bucket,path_a,path_b,sequence_a,sequence_b,split_a,split_b,label_a,label_b,frame_a,frame_b
1634,1635,0.9848142451367379,0,0,same_sequence_same_split,training/flip/0060_000000001.jpg,training/flip/0060_000000002.jpg,flip__0060,flip__0060,training,training,flip,flip,1,2
584,2940,0.9847272780088014,0,0,same_sequence_cross_split,testing/notflip/0056_000000027.jpg,training/notflip/0056_000000030.jpg,notflip__0056,notflip__0056,testing,training,notflip,notflip,27,30
2463,2464,0.9847243470624717,0,2,same_sequence_same_split,training/notflip/0037_000000022.jpg,training/notflip/0037_000000023.jpg,notflip__0037,notflip__0037,training,training,notflip,notflip,22,23
385,2148,0.9847117091808343,2,0,same_sequence_cross_split,testing/notflip/0024_000000007.jpg,training/notflip/0024_000000005.jpg,notflip__0024,notflip__0024,testing,training,notflip,notflip,7,5
2489,2491,0.9846702269256269,2,0,same_sequence_same_split,training/notflip/0038_000000028.jpg,training/notflip/0038_000000030.jpg,notflip__0038,notflip__0038,training,training,notflip,notflip,28,30
404,2214,0.9846538583415221,1,2,same_sequence_cross_split,testing/notflip/0027_000000001.jpg,training/notflip/0027_000000002.jpg,notflip__0027,notflip__0027,testing,training,notflip,notflip,1,2
1778,1779,0.9846270316765293,0,0,same_sequence_same_split,training/notflip/0001_000000025.jpg,training/notflip/0001_000000026.jpg,notflip__0001,notflip__0001,training,training,notflip,notflip,25,26
2730,2731,0.9846107450966092,2,0,same_sequence_same_split,training/notflip/0048_000000020.jpg,training/notflip/0048_000000021.jpg,notflip__0048,notflip__0048,training,training,notflip,notflip,20,21
2156,2158,0.984604901220217,2,4,same_sequence_same_split,training/notflip/0024_000000015.jpg,training/notflip/0024_000000017.jpg,notflip__0024,notflip__0024,training,training,notflip,notflip,15,17
2938,2940,0.9846013112165924,0,0,same_sequence_same_split,training/notflip/0056_000000028.jpg,training/notflip/0056_000000030.jpg,notflip__0056,notflip__0056,training,training,notflip,notflip,28,30
397,2183,0.9845792660546743,1,2,same_sequence_cross_split,testing/notflip/0025_000000025.jpg,training/notflip/0025_000000023.jpg,notflip__0025,notflip__0025,testing,training,notflip,notflip,25,23
434,435,0.9845663449787058,1,0,same_sequence_same_split,testing/notflip/0031_000000016.jpg,testing/notflip/0031_000000017.jpg,notflip__0031,notflip__0031,testing,testing,notflip,notflip,16,17
2638,2639,0.9845660006362091,1,0,same_sequence_same_split,training/notflip/0044_000000028.jpg,training/notflip/0044_000000029.jpg,notflip__0044,notflip__0044,training,training,notflip,notflip,28,29
1784,1785,0.9844866540787605,0,2,same_sequence_same_split,training/notflip/0002_000000001.jpg,training/notflip/0002_000000002.jpg,notflip__0002,notflip__0002,training,training,notflip,notflip,1,2
2963,2964,0.984470907071483,0,0,same_sequence_same_split,training/notflip/0057_000000028.jpg,training/notflip/0057_000000029.jpg,notflip__0057,notflip__0057,training,training,notflip,notflip,28,29
688,689,0.9844468375246934,2,0,same_sequence_same_split,training/flip/0006_000000002.jpg,training/flip/0006_000000003.jpg,flip__0006,flip__0006,training,training,flip,flip,2,3
1693,1694,0.9844308899596086,1,2,same_sequence_same_split,training/flip/0062_000000001.jpg,training/flip/0062_000000002.jpg,flip__0062,flip__0062,training,training,flip,flip,1,2
2372,2374,0.9843883923445453,1,0,same_sequence_same_split,training/notflip/0033_000000026.jpg,training/notflip/0033_000000029.jpg,notflip__0033,notflip__0033,training,training,notflip,notflip,26,29
2744,2745,0.9843631614505248,1,0,same_sequence_same_split,training/notflip/0049_000000008.jpg,training/notflip/0049_000000009.jpg,notflip__0049,notflip__0049,training,training,notflip,notflip,8,9
2749,2750,0.9843357798317972,0,0,same_sequence_same_split,training/notflip/0049_000000015.jpg,training/notflip/0049_000000016.jpg,notflip__0049,notflip__0049,training,training,notflip,notflip,15,16
364,2076,0.9843247943941149,1,0,same_sequence_cross_split,testing/notflip/0019_000000002.jpg,training/notflip/0019_000000003.jpg,notflip__0019,notflip__0019,testing,training,notflip,notflip,2,3
583,2937,0.9842993564097086,0,0,same_sequence_cross_split,testing/notflip/0056_000000024.jpg,training/notflip/0056_000000026.jpg,notflip__0056,notflip__0056,testing,training,notflip,notflip,24,26
2782,2784,0.984281021573653,0,0,same_sequence_same_split,training/notflip/0050_000000024.jpg,training/notflip/0050_000000026.jpg,notflip__0050,notflip__0050,training,training,notflip,notflip,24,26
302,1804,0.9842274347820124,0,2,same_sequence_cross_split,testing/notflip/0002_000000028.jpg,training/notflip/0002_000000029.jpg,notflip__0002,notflip__0002,testing,training,notflip,notflip,28,29
466,2449,0.9841807146795849,1,0,same_sequence_cross_split,testing/notflip/0036_000000025.jpg,training/notflip/0036_000000027.jpg,notflip__0036,notflip__0036,testing,training,notflip,notflip,25,27
2427,2428,0.9841619186530661,1,0,same_sequence_same_split,training/notflip/0035_000000031.jpg,training/notflip/0035_000000032.jpg,notflip__0035,notflip__0035,training,training,notflip,notflip,31,32
2529,2530,0.9841283704494239,4,0,same_sequence_same_split,training/notflip/0040_000000021.jpg,training/notflip/0040_000000022.jpg,notflip__0040,notflip__0040,training,training,notflip,notflip,21,22
1795,1796,0.9841069822384576,1,0,same_sequence_same_split,training/notflip/0002_000000017.jpg,training/notflip/0002_000000018.jpg,notflip__0002,notflip__0002,training,training,notflip,notflip,17,18
544,2710,0.9840109249437651,0,0,same_sequence_cross_split,testing/notflip/0047_000000029.jpg,training/notflip/0047_000000028.jpg,notflip__0047,notflip__0047,testing,training,notflip,notflip,29,28
2029,2030,0.9839773248044138,0,0,same_sequence_same_split,training/notflip/0011_000000029.jpg,training/notflip/0011_000000030.jpg,notflip__0011,notflip__0011,training,training,notflip,notflip,29,30
2106,2107,0.9839253077958547,0,0,same_sequence_same_split,training/notflip/0020_000000011.jpg,training/notflip/0020_000000012.jpg,notflip__0020,notflip__0020,training,training,notflip,notflip,11,12
510,2563,0.9839008770518404,0,0,same_sequence_cross_split,testing/notflip/0041_000000034.jpg,training/notflip/0041_000000035.jpg,notflip__0041,notflip__0041,testing,training,notflip,notflip,34,35
2957,2959,0.9838895981210047,0,2,same_sequence_same_split,training/notflip/0057_000000020.jpg,training/notflip/0057_000000022.jpg,notflip__0057,notflip__0057,training,training,notflip,notflip,20,22
515,2574,0.9838398811405568,1,0,same_sequence_cross_split,testing/notflip/0042_000000013.jpg,training/notflip/0042_000000014.jpg,notflip__0042,notflip__0042,testing,training,notflip,notflip,13,14
2256,2257,0.9838340318576099,1,0,same_sequence_same_split,training/notflip/0028_000000021.jpg,training/notflip/0028_000000022.jpg,notflip__0028,notflip__0028,training,training,notflip,notflip,21,22
1918,1919,0.9838274235084697,0,0,same_sequence_same_split,training/notflip/0007_000000017.jpg,training/notflip/0007_000000018.jpg,notflip__0007,notflip__0007,training,training,notflip,notflip,17,18
407,2222,0.9838198017466966,0,0,same_sequence_cross_split,testing/notflip/0027_000000013.jpg,training/notflip/0027_000000012.jpg,notflip__0027,notflip__0027,testing,training,notflip,notflip,13,12
2386,2387,0.9838106252232545,0,0,same_sequence_same_split,training/notflip/0034_000000012.jpg,training/notflip/0034_000000013.jpg,notflip__0034,notflip__0034,training,training,notflip,notflip,12,13
2707,2708,0.9837860687803819,1,0,same_sequence_same_split,training/notflip/0047_000000023.jpg,training/notflip/0047_000000026.jpg,notflip__0047,notflip__0047,training,training,notflip,notflip,23,26
449,2366,0.983717463944617,0,0,same_sequence_cross_split,testing/notflip/0033_000000019.jpg,training/notflip/0033_000000018.jpg,notflip__0033,notflip__0033,testing,training,notflip,notflip,19,18
1853,1855,0.9837012559083863,1,0,same_sequence_same_split,training/notflip/0004_000000031.jpg,training/notflip/0004_000000033.jpg,notflip__0004,notflip__0004,training,training,notflip,notflip,31,33
2119,2120,0.9836870611776373,0,2,same_sequence_same_split,training/notflip/0021_000000025.jpg,training/notflip/0021_000000027.jpg,notflip__0021,notflip__0021,training,training,notflip,notflip,25,27
2087,2089,0.9836809017868424,0,2,same_sequence_same_split,training/notflip/0019_000000017.jpg,training/notflip/0019_000000019.jpg,notflip__0019,notflip__0019,training,training,notflip,notflip,17,19
542,2707,0.9836589521996048,1,0,same_sequence_cross_split,testing/notflip/0047_000000024.jpg,training/notflip/0047_000000023.jpg,notflip__0047,notflip__0047,testing,training,notflip,notflip,24,23
2724,2725,0.9836119702451599,0,0,same_sequence_same_split,training/notflip/0048_000000013.jpg,training/notflip/0048_000000014.jpg,notflip__0048,notflip__0048,training,training,notflip,notflip,13,14
1825,1826,0.9835966181401459,1,0,same_sequence_same_split,training/notflip/0003_000000022.jpg,training/notflip/0003_000000023.jpg,notflip__0003,notflip__0003,training,training,notflip,notflip,22,23
560,2809,0.9835936910076432,0,0,same_sequence_cross_split,testing/notflip/0051_000000025.jpg,training/notflip/0051_000000024.jpg,notflip__0051,notflip__0051,testing,training,notflip,notflip,25,24
1789,1790,0.9835899767334917,0,0,same_sequence_same_split,training/notflip/0002_000000009.jpg,training/notflip/0002_000000010.jpg,notflip__0002,notflip__0002,training,training,notflip,notflip,9,10
375,2120,0.9835891824280165,0,0,same_sequence_cross_split,testing/notflip/0021_000000024.jpg,training/notflip/0021_000000027.jpg,notflip__0021,notflip__0021,testing,training,notflip,notflip,24,27
1949,1950,0.9835771232342806,0,0,same_sequence_same_split,training/notflip/0008_000000025.jpg,training/notflip/0008_000000026.jpg,notflip__0008,notflip__0008,training,training,notflip,notflip,25,26
2516,2517,0.9835653458677831,0,0,same_sequence_same_split,training/notflip/0039_000000028.jpg,training/notflip/0039_000000029.jpg,notflip__0039,notflip__0039,training,training,notflip,notflip,28,29
2512,2513,0.9835544427522833,0,2,same_sequence_same_split,training/notflip/0039_000000023.jpg,training/notflip/0039_000000024.jpg,notflip__0039,notflip__0039,training,training,notflip,notflip,23,24
1790,1791,0.9835416536138728,0,0,same_sequence_same_split,training/notflip/0002_000000010.jpg,training/notflip/0002_000000011.jpg,notflip__0002,notflip__0002,training,training,notflip,notflip,10,11
2612,2613,0.9835139097587452,0,0,same_sequence_same_split,training/notflip/0043_000000029.jpg,training/notflip/0043_000000030.jpg,notflip__0043,notflip__0043,training,training,notflip,notflip,29,30
2442,2443,0.9835094022980355,0,0,same_sequence_same_split,training/notflip/0036_000000018.jpg,training/notflip/0036_000000019.jpg,notflip__0036,notflip__0036,training,training,notflip,notflip,18,19
296,1787,0.9834626224653097,0,0,same_sequence_cross_split,testing/notflip/0002_000000006.jpg,training/notflip/0002_000000005.jpg,notflip__0002,notflip__0002,testing,training,notflip,notflip,6,5
1350,1351,0.9834586747082672,2,2,same_sequence_same_split,training/flip/0044_000000008.jpg,training/flip/0044_000000009.jpg,flip__0044,flip__0044,training,training,flip,flip,8,9
385,2149,0.9834237329527331,1,0,same_sequence_cross_split,testing/notflip/0024_000000007.jpg,training/notflip/0024_000000008.jpg,notflip__0024,notflip__0024,testing,training,notflip,notflip,7,8
487,2485,0.983391183857018,1,2,same_sequence_cross_split,testing/notflip/0038_000000023.jpg,training/notflip/0038_000000024.jpg,notflip__0038,notflip__0038,testing,training,notflip,notflip,23,24
2367,2368,0.9833427380754979,4,0,same_sequence_same_split,training/notflip/0033_000000020.jpg,training/notflip/0033_000000021.jpg,notflip__0033,notflip__0033,training,training,notflip,notflip,20,21
405,2215,0.9833185159040793,1,0,same_sequence_cross_split,testing/notflip/0027_000000004.jpg,training/notflip/0027_000000003.jpg,notflip__0027,notflip__0027,testing,training,notflip,notflip,4,3
272,1694,0.9833066276381024,2,0,same_sequence_cross_split,testing/flip/0062_000000003.jpg,training/flip/0062_000000002.jpg,flip__0062,flip__0062,testing,training,flip,flip,3,2
2284,2285,0.9833042964944844,0,0,same_sequence_same_split,training/notflip/0029_000000029.jpg,training/notflip/0029_000000030.jpg,notflip__0029,notflip__0029,training,training,notflip,notflip,29,30
2303,2304,0.983296380574084,0,2,same_sequence_same_split,training/notflip/0030_000000025.jpg,training/notflip/0030_000000026.jpg,notflip__0030,notflip__0030,training,training,notflip,notflip,25,26
1101,1102,0.9832899504773931,2,2,same_sequence_same_split,training/flip/0029_000000003.jpg,training/flip/0029_000000004.jpg,flip__0029,flip__0029,training,training,flip,flip,3,4
546,2733,0.9832606684635458,1,0,same_sequence_cross_split,testing/notflip/0048_000000025.jpg,training/notflip/0048_000000023.jpg,notflip__0048,notflip__0048,testing,training,notflip,notflip,25,23
406,2222,0.9832336923836367,2,0,same_sequence_cross_split,testing/notflip/0027_000000010.jpg,training/notflip/0027_000000012.jpg,notflip__0027,notflip__0027,testing,training,notflip,notflip,10,12
2729,2730,0.9832083777328008,2,0,same_sequence_same_split,training/notflip/0048_000000019.jpg,training/notflip/0048_000000020.jpg,notflip__0048,notflip__0048,training,training,notflip,notflip,19,20
2748,2749,0.9831837923398489,1,0,same_sequence_same_split,training/notflip/0049_000000014.jpg,training/notflip/0049_000000015.jpg,notflip__0049,notflip__0049,training,training,notflip,notflip,14,15
2532,2533,0.9831561054658091,0,0,same_sequence_same_split,training/notflip/0040_000000024.jpg,training/notflip/0040_000000025.jpg,notflip__0040,notflip__0040,training,training,notflip,notflip,24,25
474,475,0.983059170632642,2,0,same_sequence_same_split,testing/notflip/0037_000000014.jpg,testing/notflip/0037_000000015.jpg,notflip__0037,notflip__0037,testing,testing,notflip,notflip,14,15
299,1793,0.9830446701533274,2,0,same_sequence_cross_split,testing/notflip/0002_000000015.jpg,training/notflip/0002_000000014.jpg,notflip__0002,notflip__0002,testing,training,notflip,notflip,15,14
2234,2235,0.9829605357053555,1,0,same_sequence_same_split,training/notflip/0027_000000028.jpg,training/notflip/0027_000000029.jpg,notflip__0027,notflip__0027,training,training,notflip,notflip,28,29
2424,2426,0.9829569044360806,2,0,same_sequence_same_split,training/notflip/0035_000000028.jpg,training/notflip/0035_000000030.jpg,notflip__0035,notflip__0035,training,training,notflip,notflip,28,30
2220,2221,0.9829473784170313,0,0,same_sequence_same_split,training/notflip/0027_000000009.jpg,training/notflip/0027_000000011.jpg,notflip__0027,notflip__0027,training,training,notflip,notflip,9,11
2576,2577,0.9829384841240696,1,0,same_sequence_same_split,training/notflip/0042_000000016.jpg,training/notflip/0042_000000017.jpg,notflip__0042,notflip__0042,training,training,notflip,notflip,16,17
1797,1800,0.9829370627786416,1,0,same_sequence_same_split,training/notflip/0002_000000019.jpg,training/notflip/0002_000000022.jpg,notflip__0002,notflip__0002,training,training,notflip,notflip,19,22
2421,2422,0.9829170356966707,1,0,same_sequence_same_split,training/notflip/0035_000000024.jpg,training/notflip/0035_000000025.jpg,notflip__0035,notflip__0035,training,training,notflip,notflip,24,25
2906,2908,0.9828831587250174,0,0,same_sequence_same_split,training/notflip/0055_000000019.jpg,training/notflip/0055_000000021.jpg,notflip__0055,notflip__0055,training,training,notflip,notflip,19,21
2456,2457,0.9827626482204694,0,0,same_sequence_same_split,training/notflip/0037_000000011.jpg,training/notflip/0037_000000012.jpg,notflip__0037,notflip__0037,training,training,notflip,notflip,11,12
2700,2701,0.9827389025334757,0,0,same_sequence_same_split,training/notflip/0047_000000016.jpg,training/notflip/0047_000000017.jpg,notflip__0047,notflip__0047,training,training,notflip,notflip,16,17
577,2903,0.9827310193174387,3,0,same_sequence_cross_split,testing/notflip/0055_000000016.jpg,training/notflip/0055_000000015.jpg,notflip__0055,notflip__0055,testing,training,notflip,notflip,16,15
460,2424,0.9827163493385042,0,4,same_sequence_cross_split,testing/notflip/0035_000000026.jpg,training/notflip/0035_000000028.jpg,notflip__0035,notflip__0035,testing,training,notflip,notflip,26,28
402,2208,0.9827132317485723,1,0,same_sequence_cross_split,testing/notflip/0026_000000024.jpg,training/notflip/0026_000000023.jpg,notflip__0026,notflip__0026,testing,training,notflip,notflip,24,23
2140,2141,0.9827031339538772,2,0,same_sequence_same_split,training/notflip/0023_000000022.jpg,training/notflip/0023_000000023.jpg,notflip__0023,notflip__0023,training,training,notflip,notflip,22,23
296,1788,0.982693019940818,1,0,same_sequence_cross_split,testing/notflip/0002_000000006.jpg,training/notflip/0002_000000007.jpg,notflip__0002,notflip__0002,testing,training,notflip,notflip,6,7
290,1761,0.9826696245683314,0,0,same_sequence_cross_split,testing/notflip/0001_000000002.jpg,training/notflip/0001_000000005.jpg,notflip__0001,notflip__0001,testing,training,notflip,notflip,2,5
291,1761,0.9826692365070928,0,0,same_sequence_cross_split,testing/notflip/0001_000000004.jpg,training/notflip/0001_000000005.jpg,notflip__0001,notflip__0001,testing,training,notflip,notflip,4,5
1760,1761,0.9826685775123448,0,0,same_sequence_same_split,training/notflip/0001_000000003.jpg,training/notflip/0001_000000005.jpg,notflip__0001,notflip__0001,training,training,notflip,notflip,3,5
2556,2557,0.9826613572369632,0,2,same_sequence_same_split,training/notflip/0041_000000026.jpg,training/notflip/0041_000000027.jpg,notflip__0041,notflip__0041,training,training,notflip,notflip,26,27
1759,1761,0.9826589257390945,0,0,same_sequence_same_split,training/notflip/0001_000000001.jpg,training/notflip/0001_000000005.jpg,notflip__0001,notflip__0001,training,training,notflip,notflip,1,5
395,2181,0.9826458967845018,1,0,same_sequence_cross_split,testing/notflip/0025_000000021.jpg,training/notflip/0025_000000019.jpg,notflip__0025,notflip__0025,testing,training,notflip,notflip,21,19
2752,2753,0.9826205199614455,0,0,same_sequence_same_split,training/notflip/0049_000000019.jpg,training/notflip/0049_000000020.jpg,notflip__0049,notflip__0049,training,training,notflip,notflip,19,20
374,2113,0.9826188758937003,0,0,same_sequence_cross_split,testing/notflip/0020_000000019.jpg,training/notflip/0020_000000020.jpg,notflip__0020,notflip__0020,testing,training,notflip,notflip,19,20
382,2147,0.9825979305309869,1,4,same_sequence_cross_split,testing/notflip/0024_000000002.jpg,training/notflip/0024_000000003.jpg,notflip__0024,notflip__0024,testing,training,notflip,notflip,2,3
489,2511,0.9825900652133156,0,2,same_sequence_cross_split,testing/notflip/0039_000000022.jpg,training/notflip/0039_000000021.jpg,notflip__0039,notflip__0039,testing,training,notflip,notflip,22,21
577,2904,0.9825733046610946,1,2,same_sequence_cross_split,testing/notflip/0055_000000016.jpg,training/notflip/0055_000000017.jpg,notflip__0055,notflip__0055,testing,training,notflip,notflip,16,17
1819,1820,0.9825414842441869,1,0,same_sequence_same_split,training/notflip/0003_000000015.jpg,training/notflip/0003_000000016.jpg,notflip__0003,notflip__0003,training,training,notflip,notflip,15,16
2581,2582,0.9825245225685074,1,0,same_sequence_same_split,training/notflip/0042_000000022.jpg,training/notflip/0042_000000023.jpg,notflip__0042,notflip__0042,training,training,notflip,notflip,22,23
2880,2881,0.982512201478574,0,0,same_sequence_same_split,training/notflip/0054_000000017.jpg,training/notflip/0054_000000018.jpg,notflip__0054,notflip__0054,training,training,notflip,notflip,17,18
2142,2143,0.9825092591586287,1,0,same_sequence_same_split,training/notflip/0023_000000025.jpg,training/notflip/0023_000000026.jpg,notflip__0023,notflip__0023,training,training,notflip,notflip,25,26
2257,2258,0.9824868994220666,1,0,same_sequence_same_split,training/notflip/0028_000000022.jpg,training/notflip/0028_000000023.jpg,notflip__0028,notflip__0028,training,training,notflip,notflip,22,23
2149,2151,0.982479588694755,2,2,same_sequence_same_split,training/notflip/0024_000000008.jpg,training/notflip/0024_000000010.jpg,notflip__0024,notflip__0024,training,training,notflip,notflip,8,10
2721,2722,0.9824793699353186,0,4,same_sequence_same_split,training/notflip/0048_000000010.jpg,training/notflip/0048_000000011.jpg,notflip__0048,notflip__0048,training,training,notflip,notflip,10,11
370,2095,0.9824784741905064,0,0,same_sequence_cross_split,testing/notflip/0019_000000027.jpg,training/notflip/0019_000000028.jpg,notflip__0019,notflip__0019,testing,training,notflip,notflip,27,28
405,2216,0.9824580985039857,0,0,same_sequence_cross_split,testing/notflip/0027_000000004.jpg,training/notflip/0027_000000005.jpg,notflip__0027,notflip__0027,testing,training,notflip,notflip,4,5
2165,2166,0.9824536450077823,0,0,same_sequence_same_split,training/notflip/0024_000000029.jpg,training/notflip/0024_000000030.jpg,notflip__0024,notflip__0024,training,training,notflip,notflip,29,30
2667,2668,0.9824471110559201,2,0,same_sequence_same_split,training/notflip/0046_000000007.jpg,training/notflip/0046_000000008.jpg,notflip__0046,notflip__0046,training,training,notflip,notflip,7,8
1820,1821,0.9824385866604937,0,0,same_sequence_same_split,training/notflip/0003_000000016.jpg,training/notflip/0003_000000017.jpg,notflip__0003,notflip__0003,training,training,notflip,notflip,16,17
272,1695,0.9824258843690978,1,2,same_sequence_cross_split,testing/flip/0062_000000003.jpg,training/flip/0062_000000004.jpg,flip__0062,flip__0062,testing,training,flip,flip,3,4
2682,2683,0.9823905097423533,0,2,same_sequence_same_split,training/notflip/0046_000000024.jpg,training/notflip/0046_000000025.jpg,notflip__0046,notflip__0046,training,training,notflip,notflip,24,25
1968,1969,0.982358061417948,2,0,same_sequence_same_split,training/notflip/0009_000000021.jpg,training/notflip/0009_000000022.jpg,notflip__0009,notflip__0009,training,training,notflip,notflip,21,22
2187,2189,0.9823562045565536,0,0,same_sequence_same_split,training/notflip/0025_000000028.jpg,training/notflip/0025_000000030.jpg,notflip__0025,notflip__0025,training,training,notflip,notflip,28,30
2705,2706,0.9823175993757159,1,0,same_sequence_same_split,training/notflip/0047_000000021.jpg,training/notflip/0047_000000022.jpg,notflip__0047,notflip__0047,training,training,notflip,notflip,21,22
2924,2925,0.9822960935316609,0,0,same_sequence_same_split,training/notflip/0056_000000009.jpg,training/notflip/0056_000000010.jpg,notflip__0056,notflip__0056,training,training,notflip,notflip,9,10
380,2144,0.9822898074228147,0,0,same_sequence_cross_split,testing/notflip/0023_000000029.jpg,training/notflip/0023_000000027.jpg,notflip__0023,notflip__0023,testing,training,notflip,notflip,29,27
588,2959,0.9822339116709163,0,2,same_sequence_cross_split,testing/notflip/0057_000000023.jpg,training/notflip/0057_000000022.jpg,notflip__0057,notflip__0057,testing,training,notflip,notflip,23,22
2750,2752,0.9821883472072576,0,0,same_sequence_same_split,training/notflip/0049_000000016.jpg,training/notflip/0049_000000019.jpg,notflip__0049,notflip__0049,training,training,notflip,notflip,16,19
500,2528,0.9821528792706135,1,0,same_sequence_cross_split,testing/notflip/0040_000000018.jpg,training/notflip/0040_000000020.jpg,notflip__0040,notflip__0040,testing,training,notflip,notflip,18,20
2578,2579,0.9821274028506162,0,0,same_sequence_same_split,training/notflip/0042_000000018.jpg,training/notflip/0042_000000019.jpg,notflip__0042,notflip__0042,training,training,notflip,notflip,18,19
395,2183,0.9821258064772154,1,0,same_sequence_cross_split,testing/notflip/0025_000000021.jpg,training/notflip/0025_000000023.jpg,notflip__0025,notflip__0025,testing,training,notflip,notflip,21,23
2183,2186,0.9821236977373415,1,4,same_sequence_same_split,training/notflip/0025_000000023.jpg,training/notflip/0025_000000027.jpg,notflip__0025,notflip__0025,training,training,notflip,notflip,23,27
2182,2183,0.9821181697514071,2,0,same_sequence_same_split,training/notflip/0025_000000020.jpg,training/notflip/0025_000000023.jpg,notflip__0025,notflip__0025,training,training,notflip,notflip,20,23
1635,1636,0.9821094115252896,4,0,same_sequence_same_split,training/flip/0060_000000002.jpg,training/flip/0060_000000003.jpg,flip__0060,flip__0060,training,training,flip,flip,2,3
1854,1856,0.982097722800894,1,0,same_sequence_same_split,training/notflip/0004_000000032.jpg,training/notflip/0004_000000034.jpg,notflip__0004,notflip__0004,training,training,notflip,notflip,32,34
2304,2305,0.9820935394630391,2,0,same_sequence_same_split,training/notflip/0030_000000026.jpg,training/notflip/0030_000000027.jpg,notflip__0030,notflip__0030,training,training,notflip,notflip,26,27
1104,1105,0.9820862656442685,0,2,same_sequence_same_split,training/flip/0029_000000006.jpg,training/flip/0029_000000007.jpg,flip__0029,flip__0029,training,training,flip,flip,6,7
299,1795,0.9820855236559124,2,0,same_sequence_cross_split,testing/notflip/0002_000000015.jpg,training/notflip/0002_000000017.jpg,notflip__0002,notflip__0002,testing,training,notflip,notflip,15,17
2654,2655,0.9820790239057555,3,0,same_sequence_same_split,training/notflip/0045_000000019.jpg,training/notflip/0045_000000020.jpg,notflip__0045,notflip__0045,training,training,notflip,notflip,19,20
2233,2234,0.9820568243770594,1,0,same_sequence_same_split,training/notflip/0027_000000027.jpg,training/notflip/0027_000000028.jpg,notflip__0027,notflip__0027,training,training,notflip,notflip,27,28
372,2105,0.9820427499364973,1,0,same_sequence_cross_split,testing/notflip/0020_000000010.jpg,training/notflip/0020_000000009.jpg,notflip__0020,notflip__0020,testing,training,notflip,notflip,10,9
2255,2256,0.9820381698742516,1,0,same_sequence_same_split,training/notflip/0028_000000020.jpg,training/notflip/0028_000000021.jpg,notflip__0028,notflip__0028,training,training,notflip,notflip,20,21
2747,2748,0.9819568523885306,0,0,same_sequence_same_split,training/notflip/0049_000000013.jpg,training/notflip/0049_000000014.jpg,notflip__0049,notflip__0049,training,training,notflip,notflip,13,14
559,2797,0.981949220004325,2,0,same_sequence_cross_split,testing/notflip/0051_000000012.jpg,training/notflip/0051_000000011.jpg,notflip__0051,notflip__0051,testing,training,notflip,notflip,12,11
1823,1824,0.9819103189131916,0,0,same_sequence_same_split,training/notflip/0003_000000020.jpg,training/notflip/0003_000000021.jpg,notflip__0003,notflip__0003,training,training,notflip,notflip,20,21
406,2219,0.981905195596831,0,2,same_sequence_cross_split,testing/notflip/0027_000000010.jpg,training/notflip/0027_000000008.jpg,notflip__0027,notflip__0027,testing,training,notflip,notflip,10,8
1970,1971,0.9819032480196954,1,2,same_sequence_same_split,training/notflip/0009_000000023.jpg,training/notflip/0009_000000024.jpg,notflip__0009,notflip__0009,training,training,notflip,notflip,23,24
2735,2736,0.9818987949055198,0,0,same_sequence_same_split,training/notflip/0048_000000027.jpg,training/notflip/0048_000000028.jpg,notflip__0048,notflip__0048,training,training,notflip,notflip,27,28
2801,2802,0.9818877645030902,1,0,same_sequence_same_split,training/notflip/0051_000000016.jpg,training/notflip/0051_000000017.jpg,notflip__0051,notflip__0051,training,training,notflip,notflip,16,17
595,2982,0.9817652162937118,0,0,same_sequence_cross_split,testing/notflip/0058_000000021.jpg,training/notflip/0058_000000023.jpg,notflip__0058,notflip__0058,testing,training,notflip,notflip,21,23
519,2586,0.9817519650738538,3,0,same_sequence_cross_split,testing/notflip/0042_000000030.jpg,training/notflip/0042_000000029.jpg,notflip__0042,notflip__0042,testing,training,notflip,notflip,30,29
1852,1854,0.9817478586608713,3,0,same_sequence_same_split,training/notflip/0004_000000030.jpg,training/notflip/0004_000000032.jpg,notflip__0004,notflip__0004,training,training,notflip,notflip,30,32
475,2460,0.9816924727471086,3,0,same_sequence_cross_split,testing/notflip/0037_000000015.jpg,training/notflip/0037_000000017.jpg,notflip__0037,notflip__0037,testing,training,notflip,notflip,15,17
2978,2979,0.9816897511734655,0,0,same_sequence_same_split,training/notflip/0058_000000016.jpg,training/notflip/0058_000000017.jpg,notflip__0058,notflip__0058,training,training,notflip,notflip,16,17
2779,2780,0.9816663097816952,1,0,same_sequence_same_split,training/notflip/0050_000000021.jpg,training/notflip/0050_000000022.jpg,notflip__0050,notflip__0050,training,training,notflip,notflip,21,22
522,2609,0.9815941218766819,1,0,same_sequence_cross_split,testing/notflip/0043_000000026.jpg,training/notflip/0043_000000025.jpg,notflip__0043,notflip__0043,testing,training,notflip,notflip,26,25
569,2853,0.9815930118682724,1,0,same_sequence_cross_split,testing/notflip/0053_000000017.jpg,training/notflip/0053_000000018.jpg,notflip__0053,notflip__0053,testing,training,notflip,notflip,17,18
2961,2962,0.9815895399482544,0,0,same_sequence_same_split,training/notflip/0057_000000025.jpg,training/notflip/0057_000000026.jpg,notflip__0057,notflip__0057,training,training,notflip,notflip,25,26
2810,2811,0.9815543441729302,1,0,same_sequence_same_split,training/notflip/0051_000000026.jpg,training/notflip/0051_000000027.jpg,notflip__0051,notflip__0051,training,training,notflip,notflip,26,27
